"user_id","item_ids"
"user_2085","event_16,event_57,event_135,event_185,event_223,event_284,event_601,event_608,event_657,event_953"
"user_3566","event_65,event_99,event_177,event_215,event_671,event_907,event_1910,event_2846,event_682,event_199"
"user_8363","event_1189,event_1320,event_336,event_2953,event_1218,event_1715,event_168,event_2171,event_2846,event_349"
"user_1167","event_16,event_57,event_135,event_185,event_223,event_284,event_601,event_608,event_657,event_953"
"user_5561","event_200,event_129,event_466,event_843,event_857,event_2239,event_80,event_1463,event_998,event_597"
"user_3579","event_2321,event_2317,event_157,event_716,event_733,event_1128,event_1154,event_156,event_1335,event_338"
"user_4448","event_284,event_2037,event_16,event_57,event_135,event_185,event_223,event_601,event_608,event_657"
"user_7102","event_1715,event_168,event_2846,event_1218,event_2171,event_336,event_2953,event_1320,event_1189,event_349"
"user_7952","event_30,event_100,event_222,event_292,event_463,event_688,event_825,event_1028,event_1108,event_1365"
"user_8276","event_30,event_100,event_222,event_292,event_463,event_688,event_825,event_1028,event_1108,event_1365"
"user_9387","event_1189,event_2171,event_336,event_1715,event_2953,event_1218,event_1320,event_168,event_2846,event_349"
"user_2627","event_2321,event_2317,event_157,event_716,event_733,event_1128,event_1154,event_156,event_1335,event_338"
"user_9065","event_122,event_378,event_570,event_818,event_983,event_1541,event_714,event_1802,event_70,event_49"
"user_5130","event_122,event_378,event_570,event_818,event_983,event_1541,event_714,event_1802,event_70,event_49"
"user_9003","event_1470,event_152,event_1819,event_119,event_245,event_849,event_1854,event_52,event_193,event_306"
"user_9540","event_1189,event_1320,event_336,event_2953,event_1218,event_1715,event_168,event_2171,event_2846,event_349"
"user_5026","event_2321,event_2317,event_157,event_716,event_733,event_1128,event_1154,event_52,event_193,event_306"
"user_6658","event_918,event_495,event_388,event_1122,event_692,event_838,event_2283,event_378,event_1967,event_349"
"user_9277","event_65,event_99,event_177,event_215,event_671,event_907,event_1910,event_2846,event_682,event_199"
"user_3849","event_302,event_808,event_447,event_573,event_814,event_727,event_750,event_818,event_849,event_99"
"user_2767","event_30,event_100,event_222,event_292,event_463,event_688,event_825,event_1028,event_1108,event_1365"
"user_301","event_16,event_57,event_135,event_185,event_223,event_284,event_601,event_608,event_657,event_953"
"user_3865","event_65,event_338,event_71,event_1802,event_102,event_262,event_751,event_177,event_215,event_34"
"user_7185","event_2321,event_2317,event_157,event_716,event_733,event_1128,event_1154,event_156,event_1335,event_338"
"user_5431","event_30,event_100,event_222,event_292,event_463,event_688,event_825,event_1028,event_1108,event_1365"
"user_10457","event_122,event_378,event_570,event_818,event_983,event_1541,event_52,event_193,event_306,event_4593"
"user_6207","event_1380,event_1066,event_1481,event_1463,event_1802,event_427,event_817,event_913,event_262,event_238"
"user_445","event_657,event_1967,event_865,event_117,event_2317,event_30,event_100,event_463,event_1154,event_658"
"user_1925","event_373,event_122,event_570,event_818,event_1541,event_70,event_49,event_151,event_462,event_1650"
"user_9865","event_247,event_505,event_463,event_1548,event_759,event_1086,event_1802,event_1308,event_427,event_817"
"user_6428","event_65,event_99,event_177,event_215,event_671,event_907,event_1910,event_2846,event_682,event_199"
"user_3704","event_2321,event_2317,event_157,event_716,event_733,event_1128,event_1154,event_156,event_1335,event_338"
"user_1473","event_1773,event_1601,event_16,event_201,event_30,event_100,event_222,event_292,event_463,event_688"
"user_10374","event_200,event_129,event_466,event_843,event_857,event_2239,event_80,event_1463,event_998,event_597"
"user_2365","event_200,event_129,event_466,event_843,event_857,event_2239,event_80,event_1463,event_998,event_597"
"user_190","event_674,event_435,event_292,event_449,event_1123,event_1292,event_714,event_1396,event_1650,event_30"
